cte,cte_pid,pos_x,pos_y
0.6456,0.6456,54.3853,1.7556
0.6464,0.6464,54.1009,1.7556
0.6297,0.6297,53.6702,1.7556
0.6182,0.6182,53.3816,1.7556
0.5923,0.5923,52.9473,1.7556
0.5615,0.5615,52.6565,1.7557
0.5293,0.5293,52.2186,1.7557
0.5003,0.5003,51.9263,1.7557
0.4489,0.4489,51.4858,1.7557
0.4197,0.4197,51.1902,1.7557
0.3674,0.3674,50.7439,1.7556
0.3294,0.3294,50.4446,1.7556
0.2806,0.2806,49.9928,1.7556
0.2456,0.2456,49.6893,1.7556
0.1942,0.1942,49.2304,1.7556
0.1644,0.1644,48.9223,1.7556
0.1178,0.1178,48.4572,1.7555
0.091,0.091,48.145,1.7555
0.0551,0.0551,47.6735,1.7555
0.0305,0.0305,47.3576,1.7555
0.0071,0.0071,46.8814,1.7555
-0.0072,-0.0072,46.5623,1.7555
-0.0245,-0.0245,46.0818,1.7554
-0.0307,-0.0307,45.7602,1.7554
-0.0381,-0.0381,45.276,1.7554
-0.0404,-0.0404,44.9521,1.7554
-0.0399,-0.0399,44.4646,1.7554
-0.0388,-0.0388,44.1385,1.7554
-0.0334,-0.0334,43.648,1.7554
-0.0291,-0.0291,43.32,1.7554
-0.0219,-0.0219,42.8267,1.7554
-0.0172,-0.0172,42.4969,1.7554
-0.0099,-0.0099,42.0009,1.7553
-0.2099,-0.2099,41.6695,1.7553
-0.0609,-0.0609,38.5929,1.7
0.0,0.0,38.5929,1.7
0.0,0.0,38.5929,1.7
0.0,0.0,38.5929,1.7
0.0,0.0,38.5929,1.7253
0.0,0.0,38.5929,1.745
0.0,0.0,38.5929,1.7638
0.0,0.0,38.5929,1.7679
0.0,0.0,38.5929,1.7658
0.0,0.0,38.5929,1.7622
0.0,0.0,38.5929,1.7577
0.0,0.0,38.5929,1.7561
0.0,0.0,38.5929,1.7557
0.0,0.0,38.5929,1.7562
0.0,0.0,38.5929,1.7571
0.0,0.0,38.5929,1.7576
0.0,0.0,38.5929,1.7579
0.0,0.0,38.5929,1.7579
0.0,0.0,38.5929,1.7577
0.0001,0.0001,38.592,1.7576
0.0002,0.0002,38.5988,1.7575
0.0004,0.0004,38.6148,1.7574
0.0008,0.0008,38.6547,1.7573
0.0012,0.0012,38.6914,1.7572
0.0019,0.0019,38.7612,1.7571
0.0024,0.0024,38.8178,1.757
0.0034,0.0034,38.9181,1.7569
0.0041,0.0041,38.9951,1.7569
0.0053,0.0053,39.1258,1.7567
0.0061,0.0061,39.2228,1.7567
0.003,0.003,39.3831,1.7566
0.0058,0.0058,39.4995,1.7565
0.0102,0.0102,39.6882,1.7564
0.0135,0.0135,39.8233,1.7563
0.0185,0.0185,40.0393,1.7562
0.0217,0.0217,40.1922,1.7561
0.0263,0.0263,40.4344,1.756
0.0277,0.0277,40.6043,1.756
0.0346,0.0346,40.8713,1.7559
0.039,0.039,41.0572,1.7558
0.0456,0.0456,41.3474,1.7557
0.0478,0.0478,41.5489,1.7563
0.0548,0.0548,41.8586,1.7572
0.0587,0.0587,42.0734,1.7571
